              Eigenv             Ex         DeltaE
    1     -1.4896522      0.0000000     -1.4896522
    2      2.0000000      3.4896522      2.0000000
    3      4.0000000      5.4896522      4.0000000
    4      4.0000000      5.4896522      4.0000000
    5      6.7918637      8.2815159      6.7918637
    6      8.6977884     10.1874406      8.6977884
